API Key,Clave de API,
About,Acerca de,
Amended From,Modificado Desde,
Anio Fiscal,Año Fiscal,
Apps,Apps,
Arial,Arial,
Catalogo de Cuentas,Catálogo de Cuentas,
Email,Correo electrónico,
Error,Error,
Folio,Folio,
Frappe Support,Soporte de Frappe,
Keyboard Shortcuts,Atajos de teclado,
Left,Inactivo/Fuera,
Log out,Cerrar sesión,
Monospace,Monoespaciado,
No se puede eliminar el grupo por defecto: {0},No se puede eliminar el grupo por defecto: {0},
Reload,Recargar,
Right,derecho,
Session Defaults,Valores predeterminados de sesión,
System Health,Salud del sistema,
System Manager,Administrador del sistema,
Toggle Full Width,Cambiar a ancho completo,
Toggle Theme,Cambiar tema,
Total,Total,
User Settings,Configuración del Usuario,
View Website,Ver Sitio Web,
Workspace Settings,Ajustes del espacio de trabajo,
